176.0
4 / 4
Note/Rest,Octave,Len,Offset
D, 5, 0.25, 168.0
C, 5, 0.0, 168.25
B-, 4, 0.25, 168.5
G#, 4, 0.0, 168.75
F, 4, 0.0, 169.0
E-, 4, 0.0, 169.25
D, 4, 0.0, 169.5
C, 4, 0.25, 169.75
G, 4, 0.25, 170.0
E, 4, 0.25, 170.25
F, 4, 0.25, 170.5
G, 4, 0.25, 170.75
G#, 4, 0.25, 171.0
B-, 4, 0.0, 171.333333333
B, 4, 0.25, 171.5
C#, 5, 0.0, 172.0
D, 5, 0.0, 172.25
E-, 5, 0.0, 172.5
E, 5, 0.25, 172.75
G, 5, 0.25, 173.0
F, 5, 0.25, 173.25
D, 5, 0.25, 173.5
G#, 4, 1/3, 174.0
B, 4, 0.25, 174.5
G#, 4, 0.0, 174.75
D, 5, 1/3, 175.0
G#, 4, 0.0, 175.5
F, 4, 0.25, 175.75
C, 5, 1/3, 176.0
F, 4, 0.0, 177.0
A, 4, 0.25, 177.333333333
C, 5, 0.25, 177.666666667
A, 4, 0.25, 178.0
A, 3, 0.25, 179.666666667
D, 4, 0.5, 180.0
F#, 3, 0.0, 180.666666667
F#, 3, 1.25, 180.75
C, 5, 0.25, 182.0
D, 5, 0.25, 182.333333333
F#, 3, 2/3, 182.75
F, 5, 0.5, 184.0
A, 4, 0.25, 184.666666667
D, 5, 0.25, 185.0
F, 5, 0.25, 185.25
A, 5, 1/3, 185.666666667
E, 5, 0.5, 186.0
C, 4, 0.25, 186.666666667
G, 5, 2/3, 187.0
E, 5, 0.25, 187.666666667
F, 5, 0.5, 188.0
A, 4, 0.25, 188.666666667
C, 5, 0.25, 189.0
D, 5, 0.25, 189.25
A, 4, 0.25, 189.666666667
B, 4, 0.5, 190.0
F, 3, 0.5, 190.666666667
E-, 5, 0.25, 191.666666667
E, 5, 0.5, 192.0
D, 6, 0.25, 192.666666667
B-, 5, 0.0, 193.0
D, 6, 0.25, 193.25
D, 5, 0.25, 193.666666667
G#, 5, 1/3, 194.75
C, 5, 0.25, 196.75
D, 5, 0.25, 197.0
F, 5, 0.0, 197.5
G, 5, 0.25, 197.666666667
G#, 5, 0.25, 198.0
D, 6, 0.25, 198.25
F, 5, 0.25, 198.666666667
E, 4, 0.25, 199.5
E, 5, 0.0, 199.75
G, 5, 0.25, 200.25
C, 5, 0.25, 200.666666667
A, 4, 0.25, 201.333333333
A, 4, 0.25, 202.0
A, 4, 0.25, 203.25
A, 4, 0.25, 204.0
F, 5, 0.25, 204.333333333
A, 4, 0.25, 204.666666667
A, 4, 0.25, 205.333333333
A, 4, 0.25, 206.0
A, 4, 0.25, 206.666666667
D, 2, 0.25, 207.5
A, 4, 0.25, 208.0
F, 5, 0.25, 208.25
F, 4, 0.25, 208.666666667
G, 4, 0.5, 209.0
E, 4, 0.0, 209.75
F, 4, 2/3, 210.0
B-, 3, 2.25, 212.0
A, 3, 0.75, 214.666666667
C, 6, 0.0, 215.666666667
D, 6, 0.25, 216.0
C#, 6, 0.25, 216.25
C, 6, 0.0, 216.5
B-, 5, 0.0, 216.75
G, 5, 0.25, 217.0
F, 5, 0.25, 217.25
E-, 5, 0.25, 217.5
C#, 5, 0.25, 217.75
C, 5, 0.0, 218.0
B-, 4, 0.0, 218.25
G, 4, 0.25, 218.5
F, 4, 0.0, 218.75
E-, 4, 0.25, 219.0
C#, 4, 0.0, 219.25
B-, 3, 0.25, 219.666666667
G, 3, 0.25, 220.0
F, 3, 0.0, 220.25
F, 2, 0.0, 220.5
D, 4, 0.25, 220.5
B, 3, 0.25, 220.75
G#, 3, 0.0, 221.0
F, 3, 0.0, 221.25
F, 4, 0.25, 221.5
D, 4, 0.0, 221.75
C, 4, 0.25, 222.0
G#, 4, 0.25, 222.5
F, 3, 0.0, 222.75
F, 4, 0.25, 222.75
D, 4, 0.25, 223.0
D, 5, 0.25, 223.5
B, 4, 0.25, 223.75
C, 5, 0.25, 224.25
B-, 4, 0.25, 225.0
C, 5, 1/3, 225.333333333
G#, 4, 0.25, 225.666666667
F, 4, 0.25, 226.333333333
F, 3, 0.25, 227.333333333
A, 3, 0.75, 228.0
E, 3, 1.0, 229.0
A, 3, 5/3, 230.0
G#, 3, 2.5, 231.666666667
F, 4, 0.25, 234.666666667
G, 4, 1/3, 235.0
G, 4, 0.25, 236.0
D, 5, 0.25, 236.25
G, 4, 0.25, 236.5
F, 4, 0.0, 236.75
D, 5, 0.5, 237.0
D, 4, 0.25, 237.666666667
F, 4, 1/3, 238.0
B, 2, 0.5, 238.666666667
B, 4, 0.25, 239.666666667
C, 5, 0.5, 240.0
F, 4, 0.25, 241.0
A, 4, 0.25, 241.25
C, 5, 0.25, 241.666666667
A, 4, 2/3, 242.0
G, 4, 1/3, 243.0
F, 4, 2/3, 244.0
C#, 3, 0.0, 244.666666667
D, 3, 1.5, 245.0
C#, 3, 0.25, 246.5
D, 5, 0.25, 247.666666667
F, 5, 0.5, 248.0
G#, 4, 0.5, 249.333333333
D, 4, 0.5, 250.0
F#, 2, 0.0, 250.666666667
G, 2, 0.25, 250.666666667
G, 4, 0.25, 251.0
G, 2, 1.5, 251.25
F, 4, 0.25, 252.75
D, 5, 1/3, 253.0
A, 4, 0.25, 253.666666667
C, 5, 1/3, 254.0
F, 4, 0.25, 254.5
G#, 3, 0.25, 255.666666667
A, 3, 0.75, 256.0
C, 4, 1.75, 258.0
G#, 3, 0.0, 260.0
D, 4, 1.25, 261.666666667
G, 4, 2/3, 268.666666667
A, 5, 0.25, 271.0
B-, 4, 0.25, 277.0
F#, 2, 2.0, 277.666666667
G, 3, 2/3, 281.75
G#, 3, 0.5, 286.0
F, 3, 0.5, 286.75
C, 3, 1.75, 288.0
A, 2, 0.5, 291.5
F, 2, 1.75, 294.666666667
E-, 3, 0.25, 296.666666667
D, 3, 0.25, 297.25
D, 4, 0.25, 297.5
C, 4, 0.25, 298.0
E, 3, 0.25, 298.25
F, 3, 1/3, 298.5
B-, 3, 0.25, 299.0
B, 1, 3.5, 299.5
G, 4, 0.25, 303.0
F, 4, 0.25, 303.25
D, 4, 0.25, 303.5
C, 4, 0.25, 303.75
C, 5, 0.25, 304.0
A, 4, 0.25, 304.25
G, 4, 0.25, 304.5
F, 4, 0.25, 304.75
F, 5, 0.25, 305.0
D, 5, 0.25, 305.25
C, 5, 0.25, 305.5
A, 4, 0.0, 305.75
A, 5, 0.25, 306.0
E, 5, 0.25, 306.25
C#, 5, 0.25, 306.5
A, 4, 0.0, 306.75
C, 6, 0.25, 307.0
A, 5, 0.25, 307.25
E, 5, 0.25, 307.5
E, 6, 0.25, 308.0
C, 6, 0.25, 308.25
E, 5, 0.25, 308.75
G, 6, 0.25, 309.0
E, 6, 0.25, 309.25
C, 6, 0.25, 309.5
F, 6, 0.333333333333, 310.0
C, 6, 0.25, 310.5
A, 5, 0.25, 311.0
F#, 5, 0.25, 311.25
F, 5, 0.0, 311.5
E-, 5, 0.25, 311.666666667
C#, 5, 0.25, 312.0
D, 5, 0.25, 312.25
A, 5, 0.25, 312.5
D, 5, 0.0, 313.25
C#, 5, 0.25, 313.5
D, 5, 0.25, 314.0
A, 4, 0.25, 314.25
A, 4, 0.25, 314.666666667
B-, 4, 0.25, 315.0
B, 4, 0.25, 315.25
G, 5, 0.25, 315.5
B-, 4, 0.25, 316.0
A, 4, 0.25, 316.25
F, 5, 0.25, 316.5
G#, 4, 0.25, 317.0
G, 4, 0.25, 317.25
F#, 4, 0.25, 318.0
F, 4, 0.25, 318.25
E, 5, 0.25, 318.5
C#, 5, 0.25, 318.75
A, 4, 0.25, 319.0
F, 4, 0.25, 319.25
E-, 4, 0.25, 319.5
C#, 4, 0.25, 319.75
E, 4, 0.25, 320.0
F#, 4, 0.25, 320.25
G#, 4, 0.25, 320.5
B-, 4, 0.0, 320.75
B, 4, 0.25, 321.0
C#, 5, 0.0, 321.333333333
E-, 5, 0.0, 321.5
F, 5, 0.25, 321.75
F#, 5, 0.25, 322.0
G#, 5, 0.25, 322.25
C, 6, 0.25, 322.5
G#, 5, 0.25, 322.75
E, 5, 0.25, 323.25
F#, 5, 0.25, 323.666666667
G#, 5, 0.25, 324.0
E, 5, 0.0, 324.333333333
C, 5, 0.25, 324.5
F#, 5, 0.25, 324.75
D, 5, 0.25, 325.0
B-, 4, 0.0, 325.333333333
E, 5, 0.25, 325.5
C, 5, 0.25, 325.75
G#, 4, 0.0, 326.0
D, 5, 0.25, 326.25
F#, 4, 0.0, 326.75
F, 4, 0.0, 326.75
B-, 4, 0.25, 327.5
G#, 4, 0.25, 327.75
A, 4, 0.25, 328.0
F, 4, 0.25, 328.25
C, 4, 0.25, 328.666666667
B-, 3, 0.25, 329.0
G, 3, 0.25, 329.25
G#, 3, 0.25, 329.666666667
A, 3, 0.25, 330.0
C, 4, 0.25, 330.333333333
F, 4, 0.25, 330.666666667
A, 4, 0.25, 331.0
C, 4, 0.0, 331.75
A, 4, 0.25, 332.0
F, 4, 0.25, 332.333333333
C, 4, 0.25, 332.75
G#, 3, 0.0, 333.75
A, 4, 0.25, 334.333333333
G, 3, 1/3, 334.75
F, 4, 1.25, 335.75
D, 2, 1.0, 337.0
E, 3, 1.25, 338.0
C, 2, 5/3, 340.0
G#, 6, 0.25, 341.75
F, 6, 0.25, 342.0
E-, 6, 0.25, 342.333333333
C, 6, 0.25, 342.666666667
F, 5, 0.25, 343.333333333
D, 3, 1.5, 343.666666667
F, 5, 0.25, 345.333333333
E-, 5, 0.25, 345.666666667
C#, 5, 0.25, 346.0
D, 5, 0.25, 346.333333333
G#, 3, 0.0, 346.666666667
G, 5, 1/3, 347.0
G, 5, 0.25, 347.75
G#, 5, 0.25, 348.0
A, 5, 0.25, 348.25
F, 5, 0.25, 348.5
D, 5, 0.25, 348.75
B, 4, 0.5, 349.0
G#, 4, 0.0, 349.75
E, 5, 0.5, 350.0
D, 5, 0.5, 351.0
D, 5, 0.25, 352.0
C, 5, 0.25, 352.25
G, 4, 0.25, 352.5
D, 4, 0.5, 353.0
F, 4, 0.25, 353.666666667
G, 4, 0.25, 354.25
D, 4, 0.25, 354.5
B, 3, 0.25, 354.75
F, 4, 0.5, 355.0
F, 3, 0.25, 355.75
A, 3, 1.0, 356.0
E, 3, 1.0, 357.0
C, 6, 0.0, 359.5
B-, 5, 0.25, 360.0
F, 5, 0.25, 360.25
E-, 6, 0.25, 360.666666667
C, 6, 0.0, 361.0
B, 5, 0.0, 361.25
B-, 5, 0.25, 361.25
G#, 5, 0.25, 361.666666667
E-, 6, 0.25, 362.25
C, 6, 0.0, 362.5
B, 5, 0.0, 362.666666667
B-, 5, 0.25, 362.75
G#, 5, 0.25, 363.0
F, 5, 0.0, 363.25
G, 6, 0.0, 363.5
D, 6, 0.25, 363.5
D, 6, 0.0, 364.0
C#, 6, 0.25, 364.0
G#, 5, 0.0, 364.333333333
G, 5, 0.0, 364.333333333
G#, 5, 0.25, 365.0
F, 5, 0.25, 365.333333333
G#, 5, 0.25, 365.75
D, 6, 0.25, 366.0
B, 5, 0.25, 366.25
G#, 5, 0.0, 366.5
F, 5, 0.25, 366.75
D, 5, 0.25, 367.0
G, 5, 0.25, 367.5
E, 5, 0.25, 367.75
F, 5, 0.0, 368.0
C#, 5, 0.25, 368.0
D, 5, 0.0, 368.333333333
F, 5, 0.25, 368.666666667
C, 6, 0.25, 369.0
A, 5, 0.25, 369.25
F, 5, 0.25, 369.5
E-, 6, 0.0, 370.0
D, 6, 0.25, 370.25
C, 6, 0.0, 370.5
B-, 5, 0.25, 370.75
G, 5, 0.25, 371.0
F, 5, 0.25, 371.333333333
C#, 5, 0.25, 371.75
D, 5, 0.25, 372.0
F, 5, 0.25, 372.333333333
F, 5, 0.25, 373.333333333
C#, 6, 0.25, 373.666666667
E, 6, 0.25, 374.0
D, 6, 0.25, 374.5
F, 5, 0.25, 375.0
D, 5, 0.25, 375.333333333
A, 5, 1.25, 376.0
G, 5, 0.25, 377.25
E, 5, 0.25, 377.5
D, 5, 0.25, 377.75
C#, 5, 0.5, 378.0
D, 3, 0.75, 378.666666667
B, 4, 0.25, 379.75
C, 5, 2/3, 380.0
A, 4, 0.25, 380.75
B-, 4, 0.0, 381.0
D, 5, 0.25, 381.5
F, 5, 0.25, 381.75
B-, 5, 0.5, 383.0
B-, 5, 0.25, 384.0
G#, 5, 0.25, 384.25
F, 5, 0.25, 384.5
F, 5, 0.5, 385.0
F, 4, 0.25, 385.75
C, 5, 0.5, 386.0
D, 4, 0.25, 386.75
F, 4, 0.75, 387.0
B, 2, 0.0, 387.75
C, 3, 1.0, 388.0
E, 2, 0.0, 389.666666667
F, 2, 1.75, 389.75
G, 5, 0.25, 393.0
G#, 5, 0.5, 393.333333333
D, 6, 1/3, 397.0
G#, 5, 2/3, 398.0
F, 5, 0.0, 398.75
G, 5, 1/3, 399.0
D, 6, 1/3, 399.75
G, 5, 0.25, 400.333333333
F, 5, 0.25, 400.666666667
G, 5, 1/3, 401.0
F, 5, 1.5, 402.0
C, 3, 2.25, 404.0
F, 6, 0.0, 406.333333333
A, 3, 0.25, 406.333333333
D, 6, 0.0, 406.75
C, 6, 0.25, 407.0
B-, 5, 0.0, 407.333333333
F, 5, 0.0, 407.75
E-, 5, 0.25, 408.0
D, 5, 0.25, 408.333333333
B-, 4, 0.25, 408.75
G, 4, 0.0, 409.0
F, 4, 0.25, 409.25
E-, 4, 0.0, 409.5
E, 3, 0.25, 409.5
D, 4, 0.0, 409.75
C, 4, 0.25, 410.0
B-, 3, 0.25, 410.25
G, 3, 0.25, 410.5
F, 3, 0.0, 410.75
D, 4, 0.25, 411.0
B, 3, 0.25, 411.25
G#, 3, 0.25, 411.5
F, 3, 0.0, 411.75
G, 3, 0.25, 411.75
F, 4, 0.25, 412.0
E, 4, 0.25, 412.25
B, 3, 0.25, 412.75
G#, 3, 0.25, 413.0
G, 4, 0.25, 413.5
E, 4, 0.25, 413.75
F, 4, 0.25, 414.0
G, 4, 0.25, 414.25
G#, 4, 0.25, 414.5
B-, 4, 0.25, 414.75
B, 4, 0.25, 415.0
C, 5, 0.25, 415.25
C#, 5, 0.25, 415.5
D, 5, 0.0, 415.75
E-, 5, 0.0, 416.0
E, 5, 0.25, 416.25
G, 5, 0.25, 416.5
A, 4, 0.25, 417.0
B-, 4, 0.0, 417.25
D, 5, 0.25, 417.5
C, 5, 0.0, 417.75
E, 4, 0.25, 418.0
F, 4, 0.0, 418.25
B-, 4, 0.25, 418.333333333
G, 4, 0.25, 419.0
F, 4, 0.25, 419.25
D, 4, 0.25, 419.5
C, 4, 0.25, 419.75
C, 3, 1.0, 420.0
C, 4, 0.0, 421.25
E-, 4, 0.0, 421.333333333
G, 4, 0.25, 421.5
B-, 4, 0.0, 421.75
B, 4, 0.0, 422.0
D, 5, 0.25, 422.0
E-, 5, 0.25, 422.25
D, 5, 1/3, 422.75
B-, 4, 0.25, 423.5
G#, 4, 0.25, 423.75
F, 5, 0.25, 424.25
F, 5, 0.5, 425.0
B-, 4, 0.0, 426.0
D, 5, 0.25, 426.25
F, 4, 0.25, 426.666666667
G, 4, 2/3, 427.0
G, 4, 0.25, 428.0
G#, 4, 1/3, 428.333333333
G, 4, 2/3, 429.0
F, 4, 1.0, 429.75
C, 3, 0.25, 430.75
C#, 4, 0.25, 431.333333333
E, 6, 0.0, 435.25
F#, 3, 1.5, 437.666666667
G, 5, 0.25, 439.333333333
D, 3, 0.25, 439.75
F, 3, 0.25, 440.0
G, 3, 0.75, 440.25
B-, 3, 0.25, 441.0
B, 3, 0.25, 441.25
A, 3, 0.25, 441.5
C, 4, 0.25, 441.75
C#, 4, 0.25, 442.0
D, 4, 0.25, 442.25
C, 4, 0.333333333333, 442.5
E, 4, 0.25, 443.0
C#, 5, 0.0, 443.25
E, 4, 0.25, 443.5
G, 4, 0.25, 443.75
G#, 4, 0.25, 444.0
F, 4, 0.0, 444.5
G, 4, 0.25, 444.5
C, 5, 0.333333333333, 445.0
C, 5, 0.0, 445.5
C, 5, 1/3, 445.75
D, 5, 0.0, 446.5
E, 5, 0.25, 446.5
F, 5, 0.25, 446.75
F#, 5, 0.25, 447.0
G, 6, 0.0, 447.333333333
E-, 6, 0.0, 447.333333333
G, 5, 0.25, 447.5
F, 5, 0.75, 449.0
B-, 4, 0.25, 450.75
E, 5, 0.25, 452.25
C, 4, 0.75, 453.0
C, 5, 0.25, 454.0
F, 5, 0.5, 454.25
F, 5, 0.25, 454.75
G, 4, 0.25, 455.0
A, 6, 0.25, 463.0
F, 6, 1.5, 464.0
F, 6, 0.5, 465.666666667
F, 6, 0.0, 467.25
E-, 6, 0.25, 467.25
D, 6, 0.25, 467.5
G, 5, 0.25, 468.333333333
G#, 5, 0.25, 468.666666667
A, 5, 0.25, 469.0
F, 5, 0.25, 469.333333333
C, 5, 0.25, 469.666666667
F, 5, 0.25, 470.0
F, 4, 0.25, 470.333333333
A, 3, 0.5, 470.666666667
F, 4, 1/3, 475.0
B, 2, 1/3, 475.666666667
A, 3, 8/3, 479.75
C, 5, 0.25, 482.666666667
B-, 4, 2/3, 483.0
G#, 4, 0.25, 483.75
A, 4, 1/3, 484.0
E, 3, 0.0, 484.666666667
F, 3, 4/3, 485.0
D, 3, 0.25, 486.5
F, 3, 0.25, 486.75
A, 5, 0.25, 487.0
B-, 2, 0.0, 487.666666667
B-, 5, 1/3, 488.0
D, 6, 1/3, 489.0
F, 6, 2/3, 490.0
D, 4, 0.25, 491.75
B, 2, 0.25, 492.0
D, 6, 0.0, 492.75
F, 6, 1/3, 493.0
G#, 6, 0.5, 494.0
A, 6, 0.5, 495.0
E, 4, 0.25, 495.666666667
A, 6, 0.25, 496.0
F, 6, 0.25, 496.333333333
C, 6, 0.25, 496.666666667
B-, 5, 0.5, 497.0
G#, 5, 0.0, 497.75
A, 5, 0.5, 498.0
A, 3, 0.25, 498.75
G, 5, 0.5, 499.0
E, 5, 0.0, 499.75
D, 3, 0.25, 499.75
F#, 5, 0.5, 500.0
E-, 6, 0.25, 500.75
C, 6, 0.5, 501.0
C#, 6, 0.25, 501.666666667
D, 6, 0.25, 502.0
D, 5, 0.25, 502.666666667
F, 5, 0.25, 503.0
G#, 5, 0.5, 504.0
F, 5, 0.25, 504.75
G#, 5, 2/3, 505.0
F, 5, 0.25, 506.0
G#, 5, 0.5, 508.0
F, 5, 0.0, 508.75
G#, 5, 2/3, 509.0
F, 5, 0.25, 510.0
G#, 5, 0.25, 510.25
C, 5, 0.25, 510.75
E, 5, 1/3, 511.0
G, 5, 1/3, 511.666666667
F, 5, 0.0, 512.0
G, 5, 0.25, 512.25
C, 5, 0.25, 512.666666667
B-, 4, 2/3, 513.0
G#, 4, 0.0, 513.75
A, 4, 1/3, 514.0
C, 5, 1/3, 517.0
F, 5, 0.5, 518.0
C, 5, 0.0, 518.75
G, 5, 0.25, 519.0
A, 5, 1/3, 520.0
A, 5, 0.5, 523.0
F, 5, 0.25, 523.75
A, 5, 1/3, 524.0
B-, 5, 1/3, 524.666666667
B, 5, 1/3, 525.25
C, 6, 1/3, 525.75
G#, 5, 0.0, 526.25
A, 5, 0.25, 526.5
G#, 5, 0.25, 527.0
A, 5, 1/3, 527.25
F, 5, 1/3, 527.75
F, 5, 0.0, 528.333333333
C, 5, 0.25, 528.666666667
B-, 4, 0.333333333333, 529.0
E, 4, 10/3, 31.5
C#, 6, 0.25, 41.5
C, 6, 0.25, 46.3333333333
G#, 5, 0.25, 48.0
A, 5, 0.5, 48.3333333333
E, 5, 0.0, 64.3333333333
G, 4, 0.0, 65.6666666667
A, 4, 1.0, 70.0
G, 5, 1/3, 71.0
C, 5, 1.25, 72.0
A, 5, 0.25, 77.6666666667
F, 4, 1.0, 80.0
E, 4, 1.75, 81.5
A, 4, 1.0, 86.0
C, 5, 1/3, 87.0
B-, 2, 11/3, 87.5
B, 2, 3.25, 92.6666666667
G, 3, 0.25, 100.0
E, 3, 0.0, 100.5
F, 3, 2.0, 100.666666667
F, 3, 0.25, 102.75
D, 5, 1.0, 110.25
F, 4, 0.0, 112.5
C, 5, 0.25, 112.666666667
A, 4, 0.5, 114.0
G, 4, 0.25, 115.0
F, 5, 0.75, 116.0
C, 5, 0.25, 118.0
D, 5, 0.25, 118.333333333
G, 4, 0.25, 121.0
G#, 4, 0.25, 121.333333333
D, 4, 0.5, 122.0
F, 4, 0.25, 122.666666667
G, 4, 0.333333333333, 123.0
G, 4, 0.25, 123.666666667
F, 4, 0.25, 124.666666667
B-, 2, 0.25, 128.666666667
F#, 3, 2.0, 130.0
B, 3, 7/3, 132.0
A, 3, 0.25, 135.75
F, 5, 0.5, 136.0
G#, 4, 0.25, 137.0
A, 4, 0.5, 137.5
D, 2, 0.0, 143.75
D, 3, 0.25, 145.666666667
C, 4, 0.25, 149.0
D, 4, 0.0, 149.25
E-, 4, 0.0, 149.5
F, 4, 0.25, 149.75
G, 4, 0.25, 150.0
B-, 4, 0.25, 150.25
C#, 5, 0.0, 150.5
D, 5, 0.0, 150.75
B-, 2, 1.0, 152.0
G#, 4, 0.25, 155.666666667
D, 5, 0.5, 157.0
D, 5, 0.5, 158.0
B, 2, 0.25, 158.75
B-, 4, 0.5, 159.0
A, 3, 0.25, 159.666666667
B-, 4, 0.5, 161.0
A, 4, 0.25, 162.0
B-, 3, 0.25, 163.0
G, 3, 0.25, 163.5
B-, 3, 0.75, 165.0
G#, 3, 0.5, 167.5
D, 3, 0.25, 170.666666667
F, 4, 0.25, 174.333333333
C, 4, 0.25, 176.666666667
F#, 4, 1/3, 180.0
C#, 5, 0.25, 182.0
F, 5, 0.25, 182.75
F, 5, 0.5, 183.0
D, 5, 0.0, 186.75
C, 5, 0.25, 189.333333333
E, 4, 1/3, 190.666666667
F, 5, 0.5, 191.0
F, 5, 0.25, 200.333333333
B, 2, 0.0, 202.5
B-, 4, 0.0, 204.333333333
F, 3, 0.0, 207.666666667
C, 5, 0.25, 208.25
C#, 3, 1.0, 210.666666667
C, 3, 2.5, 212.0
F, 6, 0.25, 214.5
F, 5, 0.25, 214.75
E-, 6, 0.25, 215.333333333
D, 4, 1/3, 215.75
C, 4, 0.0, 219.5
B, 3, 0.25, 222.0
E, 4, 0.25, 224.333333333
F, 4, 0.25, 224.666666667
G, 4, 0.0, 226.5
G, 3, 0.0, 227.333333333
F#, 2, 0.25, 228.666666667
B-, 3, 1.0, 229.0
E-, 3, 5/3, 230.0
